"","lhs","","rhs","support","confidence","lift","count"
"[1]","{baking powder}","=>","{whole milk}",0.00925266903914591,0.522988505747126,2.04679345563987,91
"[2]","{other vegetables,oil}","=>","{whole milk}",0.00508388408744281,0.510204081632653,1.99675970666818,50
"[3]","{root vegetables,onions}","=>","{other vegetables}",0.00569395017793594,0.602150537634409,3.11200763932444,56
"[4]","{onions,whole milk}","=>","{other vegetables}",0.00660904931367565,0.546218487394958,2.82294210379895,65
"[5]","{other vegetables,hygiene articles}","=>","{whole milk}",0.00518556176919166,0.542553191489362,2.12336276892076,51
"[6]","{other vegetables,sugar}","=>","{whole milk}",0.00630401626842908,0.584905660377358,2.28911546749356,62
"[7]","{other vegetables,long life bakery product}","=>","{whole milk}",0.00569395017793594,0.533333333333333,2.08727948003714,56
"[8]","{yogurt,cream cheese }","=>","{whole milk}",0.00660904931367565,0.532786885245902,2.08514087401251,65
"[9]","{chicken,root vegetables}","=>","{other vegetables}",0.00569395017793594,0.523364485981308,2.7048290696932,56
"[10]","{chicken,root vegetables}","=>","{whole milk}",0.00599898322318251,0.551401869158878,2.15799338765522,59
"[11]","{chicken,rolls/buns}","=>","{whole milk}",0.00528723945094052,0.547368421052632,2.14220788740654,52
"[12]","{yogurt,coffee}","=>","{whole milk}",0.00508388408744281,0.520833333333333,2.03835886722377,50
"[13]","{root vegetables,frozen vegetables}","=>","{other vegetables}",0.00610066090493137,0.526315789473684,2.72008186519899,60
"[14]","{root vegetables,frozen vegetables}","=>","{whole milk}",0.00620233858668022,0.535087719298246,2.09414553095831,61
"[15]","{frozen vegetables,rolls/buns}","=>","{whole milk}",0.00508388408744281,0.5,1.95682451253482,50
"[16]","{other vegetables,frozen vegetables}","=>","{whole milk}",0.00965937976614133,0.542857142857143,2.12455232789495,95
"[17]","{beef,yogurt}","=>","{whole milk}",0.00610066090493137,0.521739130434783,2.04190383916677,60
"[18]","{beef,rolls/buns}","=>","{whole milk}",0.00681240467717336,0.5,1.95682451253482,67
"[19]","{curd,whipped/sour cream}","=>","{whole milk}",0.00589730554143366,0.563106796116505,2.20380236363145,58
"[20]","{tropical fruit,curd}","=>","{yogurt}",0.00528723945094052,0.514851485148515,3.69064457466155,52
"[21]","{tropical fruit,curd}","=>","{other vegetables}",0.00528723945094052,0.514851485148515,2.66083255724416,52
"[22]","{tropical fruit,curd}","=>","{whole milk}",0.00650737163192679,0.633663366336634,2.47993601588571,64
"[23]","{root vegetables,curd}","=>","{other vegetables}",0.00549059481443823,0.504672897196262,2.60822803148988,54
"[24]","{root vegetables,curd}","=>","{whole milk}",0.00620233858668022,0.570093457943925,2.23114570588082,61
"[25]","{curd,yogurt}","=>","{whole milk}",0.0100660904931368,0.582352941176471,2.27912502048173,99
"[26]","{curd,rolls/buns}","=>","{whole milk}",0.00589730554143366,0.585858585858586,2.29284488337413,58
"[27]","{other vegetables,curd}","=>","{whole milk}",0.00986273512963904,0.57396449704142,2.24629559427074,97
"[28]","{pork,root vegetables}","=>","{other vegetables}",0.00701576004067107,0.514925373134328,2.66121442184767,69
"[29]","{pork,root vegetables}","=>","{whole milk}",0.00681240467717336,0.5,1.95682451253482,67
"[30]","{pork,rolls/buns}","=>","{whole milk}",0.00620233858668022,0.54954954954955,2.15074405882205,61
"[31]","{frankfurter,tropical fruit}","=>","{whole milk}",0.00518556176919166,0.548387096774194,2.14619462665109,51
"[32]","{frankfurter,root vegetables}","=>","{whole milk}",0.00508388408744281,0.5,1.95682451253482,50
"[33]","{frankfurter,yogurt}","=>","{whole milk}",0.00620233858668022,0.554545454545455,2.17029627753862,61
"[34]","{yogurt,bottled beer}","=>","{whole milk}",0.00518556176919166,0.56043956043956,2.19336373932474,51
"[35]","{tropical fruit,brown bread}","=>","{whole milk}",0.00569395017793594,0.533333333333333,2.08727948003714,56
"[36]","{root vegetables,brown bread}","=>","{whole milk}",0.00569395017793594,0.56,2.191643454039,56
"[37]","{other vegetables,brown bread}","=>","{whole milk}",0.00935434672089476,0.5,1.95682451253482,92
"[38]","{domestic eggs,margarine}","=>","{whole milk}",0.00518556176919166,0.621951219512195,2.43409878388477,51
"[39]","{root vegetables,margarine}","=>","{other vegetables}",0.00589730554143366,0.532110091743119,2.75002772059568,58
"[40]","{rolls/buns,margarine}","=>","{whole milk}",0.00793085917641078,0.537931034482759,2.10527326865815,78
"[41]","{butter,domestic eggs}","=>","{whole milk}",0.00599898322318251,0.621052631578947,2.43058202609588,59
"[42]","{butter,whipped/sour cream}","=>","{other vegetables}",0.0057956278596848,0.57,2.94584866001051,57
"[43]","{butter,whipped/sour cream}","=>","{whole milk}",0.0067107269954245,0.66,2.58300835654596,66
"[44]","{citrus fruit,butter}","=>","{whole milk}",0.00508388408744281,0.555555555555556,2.17424945837202,50
"[45]","{butter,bottled water}","=>","{whole milk}",0.00538891713268937,0.602272727272727,2.35708407191694,53
"[46]","{tropical fruit,butter}","=>","{other vegetables}",0.00549059481443823,0.551020408163265,2.84775917723895,54
